NAME;MOVES;FREQUENCY;STARTING
Sicilian Defense;e2e4,c7c5;611569;e4
French Defense;e2e4,e7e6;181280;e4
Ruy Lopez Opening;e2e4,e7e5,g1f3,b8c6,f1b5;141714;e4
Caro-Kann Defense;e2e4,c7c6;110003;e4
Italian Game;e2e4,e7e5,g1f3,b8c6,f1c4;42888;e4
Scandinavian Defense;e2e4,d7d5;36625;e4
Alekhine's Defense;e2e4,g8f6;28916;e4
Queen's Gambit;d2d4,d7d5,c2c4;201214;d4
King's Indian Defense;d2d4,g7g6,c2c4,g8f6;186219;d4
Slav Defense;d2d4,d7d5,c2c4,c7c6;100889;d4
London System;d2d4,d7d5,g1f3,g8f6,c1f4;9523;d4
Gruenfeld Defense;d2d4,g8f6,c2c4,g7g6,b1c3,d7d5;40252;d4
Queen's Indian Defense;d2d4,g8f6,c2c4,e7e6,g1f3,b7b6;49733;d4
Nimzo-Indian Defense;d2d4,g8f6,c2c4,e7e6,b1c3,f8b4;80767;d4
Reti Opening;g1f3;296347;Nf3
English Opening;c2c4;211917;c4
Bird's Opening;f2f4;10207;f4
Polish Opening;b2b4;2845;b4
King's Indian Attack;g1f3,d7d5,g2g3;44544;Nf3
