Epoch,Startdatetime,Enddatetime,Runtime,Loss,Path,Target-Path
1,30-07-2023 22:21:30,30-07-2023 22:29:12,7.7,-301.7871398925781,./weights/ddpg/model_weights_at_1.h5,./weights/ddpg/target_model_weights_at_1.h5
2,30-07-2023 22:29:12,30-07-2023 22:39:19,10.1,-298.1780700683594,./weights/ddpg/model_weights_at_2.h5,./weights/ddpg/target_model_weights_at_2.h5
3,30-07-2023 22:39:19,30-07-2023 22:52:01,12.7,-348.17352294921875,./weights/ddpg/model_weights_at_3.h5,./weights/ddpg/target_model_weights_at_3.h5
4,30-07-2023 22:52:01,30-07-2023 23:07:09,15.116666666666667,-356.81256103515625,./weights/ddpg/model_weights_at_4.h5,./weights/ddpg/target_model_weights_at_4.h5
5,30-07-2023 23:07:09,30-07-2023 23:24:55,17.75,-352.084716796875,./weights/ddpg/model_weights_at_5.h5,./weights/ddpg/target_model_weights_at_5.h5
6,30-07-2023 23:24:55,30-07-2023 23:45:13,20.3,-353.9098205566406,./weights/ddpg/model_weights_at_6.h5,./weights/ddpg/target_model_weights_at_6.h5
7,30-07-2023 23:45:13,31-07-2023 00:09:11,23.95,-349.28155517578125,./weights/ddpg/model_weights_at_7.h5,./weights/ddpg/target_model_weights_at_7.h5
8,31-07-2023 00:09:12,31-07-2023 00:31:33,22.35,-371.8492736816406,./weights/ddpg/model_weights_at_8.h5,./weights/ddpg/target_model_weights_at_8.h5
9,31-07-2023 00:31:33,31-07-2023 00:54:43,23.15,-382.9393310546875,./weights/ddpg/model_weights_at_9.h5,./weights/ddpg/target_model_weights_at_9.h5
10,31-07-2023 00:54:43,31-07-2023 01:17:40,22.95,-415.2412414550781,./weights/ddpg/model_weights_at_10.h5,./weights/ddpg/target_model_weights_at_10.h5
11,31-07-2023 01:17:41,31-07-2023 01:39:51,22.166666666666668,-423.07427978515625,./weights/ddpg/model_weights_at_11.h5,./weights/ddpg/target_model_weights_at_11.h5
12,31-07-2023 01:39:51,31-07-2023 02:05:18,25.45,-425.3240356445313,./weights/ddpg/model_weights_at_12.h5,./weights/ddpg/target_model_weights_at_12.h5
13,31-07-2023 02:05:18,31-07-2023 02:29:20,24.016666666666666,-446.17962646484375,./weights/ddpg/model_weights_at_13.h5,./weights/ddpg/target_model_weights_at_13.h5
14,31-07-2023 02:29:21,31-07-2023 02:53:39,24.3,-443.2508850097656,./weights/ddpg/model_weights_at_14.h5,./weights/ddpg/target_model_weights_at_14.h5
15,31-07-2023 02:53:39,31-07-2023 03:17:25,23.75,-445.8059387207031,./weights/ddpg/model_weights_at_15.h5,./weights/ddpg/target_model_weights_at_15.h5
16,31-07-2023 03:17:25,31-07-2023 03:40:52,23.433333333333334,-450.4423828125,./weights/ddpg/model_weights_at_16.h5,./weights/ddpg/target_model_weights_at_16.h5
17,31-07-2023 03:40:52,31-07-2023 04:06:39,25.78333333333333,-451.6014404296875,./weights/ddpg/model_weights_at_17.h5,./weights/ddpg/target_model_weights_at_17.h5
18,31-07-2023 04:06:40,31-07-2023 04:30:42,24.03333333333333,-458.67431640625,./weights/ddpg/model_weights_at_18.h5,./weights/ddpg/target_model_weights_at_18.h5
19,31-07-2023 04:30:42,31-07-2023 04:56:00,25.28333333333333,-460.6376953125,./weights/ddpg/model_weights_at_19.h5,./weights/ddpg/target_model_weights_at_19.h5
