Episode,Startdatetime,Enddatetime,Runtime,Loss,Move Count,Moves,Path
1,25-07-2023 13:08:58,25-07-2023 16:27:05,198.1,-565.9315795898438,94,"d2d3,g8f6,f2f4,d7d6,c1e3,f6d7,e1d2,d7e5,g1f3,e5d3,e3b6,h8g8,f3h4,a7a5,c2d3,g8h8,d1c1,d8d7,b6e3,d7h3,b2b3,h3g3,b1a3,g3h2,d2e1,h7h5,g2g4,h2h4,e1d1,d6d5,b3b4,b8c6,d3d4,e7e6,a3c2,f8c5,b4c5,a5a4,h1h2,h4h2,a2a3,h5g4,c1b1,g7g5,b1b3,a8b8,b3b7,c6d4,e3d2,g4g3,d2a5,h2f2,c2d4,f2e3,b7c6,e8d8,c6b5,h8h3,a5b4,e3d3,d1e1,d3h7,b5b7,h7h4,d4b5,g5f4,a1d1,b8b7,f1g2,c8d7,e2e3,h4h7,g2f1,h7h8,b5c7,h8h7,c7a6,b7b8,a6b8,h7g7,b4d2,d7c6,f1g2,g7d4,g2h3,d4c4,h3g4,c4c5,g4h3,c5a3,h3g2,c6d7,e1f1,a3e3",./weights/montecarlo/model_weights_at_1.h5
2,26-07-2023 01:36:33,26-07-2023 03:56:22,139.81666666666666,-385.5869445800781,60,"b2b3,b7b6,d2d4,f7f5,c2c3,e7e5,f2f3,f8e7,a2a4,e7h4,e1d2,h4e7,d1e1,e7c5,e2e4,c5b4,a1a3,h7h6,a3a2,e8f8,e4f5,d7d6,f1b5,e5e4,e1f2,b4c5,g2g3,e4f3,b5d7,c5b4,a2a3,c8a6,d2e1,g7g6,e1d2,d8d7,d2e3,f8f7,f2g2,f7f8,c1d2,a6b5,g2h3,d7c8,f5g6,b5f1,h3h6,g8h6,d4d5,f8g7,d2e1,g7f6,g3g4,b8d7,e3d4,d7c5,e1d2,c8f5,d2c1,f5e5",./weights/montecarlo/model_weights_at_2.h5
3,26-07-2023 03:56:22,26-07-2023 04:23:40,27.28333333333333,-75.8812255859375,12,"c2c4,g7g6,b1a3,f8h6,f2f3,a7a6,a1b1,h6f4,b1a1,c7c5,h2h3,f4g3",./weights/montecarlo/model_weights_at_3.h5
4,26-07-2023 04:23:40,26-07-2023 06:29:14,125.55,-350.7281494140625,54,"h2h3,b7b5,e2e4,b8c6,b2b4,c8a6,d1h5,a6b7,c2c3,b7a6,h5g5,a6c8,g5f6,g8f6,e1d1,h7h6,h3h4,c6d4,g1h3,a7a6,h3g5,h8h7,e4e5,e7e6,h1h3,h6h5,c3c4,a8b8,g5f3,h7h6,d2d3,a6a5,d1d2,e8e7,d2e3,c8b7,a2a3,f6e8,f3d4,h6f6,a1a2,c7c6,h3f3,f6f5,f3g3,e8d6,a2e2,a5a4,d4e6,d6c4,e3d4,d7e6,d4c5,d8d6",./weights/montecarlo/model_weights_at_4.h5
5,26-07-2023 06:29:14,26-07-2023 09:37:01,187.78333333333333,-517.0025024414062,80,"d2d3,h7h6,c1e3,b7b6,f2f3,g8f6,c2c3,f6d5,g1h3,c8b7,a2a4,h8h7,d1c1,d5c3,a1a2,f7f6,d3d4,b7d5,b1c3,e7e6,c1d1,d5f3,d1c2,e8f7,a4a5,f7g8,a5a6,b8a6,h1g1,h6h5,c2g6,f3d5,e1d2,b6b5,g2g4,d8e8,c3d5,d7d6,e3g5,a8c8,g6b1,h5h4,g1h1,f6g5,d2d1,h7h5,d1c1,e8d7,b2b4,d7f7,h3g5,a6b8,g4h5,f7f4,c1c2,f4e3,a2a4,b5a4,b1b2,e6e5,g5f3,b8d7,d4e5,g7g5,d5f6,g8g7,f3g5,h4h3,f1g2,d7b8,h1d1,a7a5,f6e8,g7g8,b2b1,c7c5,g2b7,a5b4,h5h6,e3c3",./weights/montecarlo/model_weights_at_5.h5
6,26-07-2023 12:40:37,26-07-2023 15:21:38,161.01666666666668,-474.35003662109375,72,"g1h3,g7g5,h1g1,b7b5,a2a4,f8h6,a1a3,c7c5,a3g3,d8c7,f2f3,c7d6,c2c4,b8c6,h3f4,d6d5,d2d3,b5a4,c1d2,f7f5,b1c3,c6d4,f4e6,d4b5,h2h3,b5a3,d2g5,e8f7,d1b3,a8b8,g1h1,d5d4,b3b7,a3c2,e1d1,d7d5,e6f8,c2e1,c3a4,a7a5,e2e4,b8a8,f3f4,d4c3,b2b4,c3f6,b4b5,f5e4,f8h7,f6f5,g5f6,e4e3,b7e7,g8e7,d1c1,h6f4,f6e5,f5h7,e5f6,f7f6,g3g4,h7h4,g4g3,f6e6,g3g8,f4b8,g8e8,h4e4,a4b2,a8a6,d3d4,e4c2",./weights/montecarlo/model_weights_at_6.h5
7,26-07-2023 15:21:38,26-07-2023 18:51:40,210.03333333333333,-619.68212890625,97,"b1c3,e7e6,h2h3,b8a6,d2d4,d8g5,c1d2,g5e3,g2g4,e3g3,d1c1,e8d8,f2g3,d8e8,d2e3,f8b4,a2a3,f7f6,e1d1,b4d6,g1f3,d6f8,f3e1,g8h6,d1d2,c7c6,c3a4,b7b5,e3g5,f8d6,d2c3,d6b4,c3d3,a6c7,g5h6,g7g5,a1b1,a8b8,c1d2,f6f5,h6f8,a7a5,b2b3,h7h6,b1c1,b5a4,f8b4,c7b5,c1b1,a5b4,c2c4,c8a6,d2b4,h8g8,e1g2,b5c7,d4d5,e6e5,d5c6,a6c4,b4c4,b8b7,h1h2,g8g6,c4a4,e8e7,a4e4,e7e6,b3b4,e6f7,g4f5,c7a6,f5g6,f7g7,a3a4,d7d6,d3c4,a6c7,e4d5,e5e4,b1c1,c7b5,c1e1,b7b8,h3h4,b5c3,a4a5,c3d1,d5c5,d6d5,c5d5,g7h8,d5c5,b8b4,c4b4,d1c3,c5f8",./weights/montecarlo/model_weights_at_7.h5
8,27-07-2023 00:17:23,27-07-2023 00:46:41,29.3,-79.99376678466797,12,"b1c3,h7h6,g1h3,f7f5,c3a4,b7b6,g2g4,e7e5,h3g1,f8d6,f2f4,d8h4",./weights/montecarlo/model_weights_at_8.h5
9,27-07-2023 00:56:30,27-07-2023 02:47:19,110.81666666666666,-337.4124755859375,50,"b2b4,b8a6,f2f4,d7d6,b1c3,d8d7,d2d4,a6c5,d4c5,g8h6,d1d2,h6g4,c5c6,d7f5,h2h3,g4e5,f4e5,e8d8,c3b5,d8e8,d2d6,c8d7,d6c7,a8d8,b5a7,h8g8,e5e6,f7e6,c7b8,f5e4,g1f3,e4g6,c1d2,d8c8,h3h4,d7c6,c2c3,c6a4,h4h5,g6b1,d2c1,h7h6,f3h2,b1b2,b8c7,c8d8,h2f3,e6e5,e2e3,d8d1",./weights/montecarlo/model_weights_at_9.h5
10,27-07-2023 02:47:19,27-07-2023 04:40:52,113.53333333333332,-383.5990295410156,54,"b1c3,b7b5,b2b3,a7a6,g2g4,f7f5,c1b2,e8f7,c3d5,c8b7,d5f6,b7h1,g4g5,f5f4,a2a3,e7e6,f2f3,h1g2,d2d3,h7h5,d1c1,g8h6,d3d4,h8g8,d4d5,f7g6,f6g8,g2h3,c1e3,f4e3,a1d1,d8c8,b2d4,h6f7,d1b1,c8e8,d4b6,c7b6,b1c1,g6h7,g8h6,e8c8,b3b4,e6e5,c1a1,h7g6,d5d6,f7d8,h6g4,h5g4,c2c3,g4f3,a1d1,f3f2",./weights/montecarlo/model_weights_at_10.h5
